NOM_ABREV_ORGAO;SGL_UF;NOM_LOCALIDADE;COD_TIPO_AUTOR;UO__Cod_;NOM_ABREV_UNID_ORCA;COD_AUTOR;COD_EMENDA;NOM_AUTOR;SGL_PARTIDO;FUNCPROG;SALDO;UF_AUTOR;Título;200;270;410;420;510
M. da Educação;AC;Acre;01;26275;Fund. Univ. Fed. do Acre;1186;11860003;João Correia;PMDB;12.364.1073.6373.0012;150000;AC;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - No Estado do Acre;2310000;2310000;422099,72;306123,36;255713,21
M. da Educação;AC;Acre;01;26275;Fund. Univ. Fed. do Acre;1188;11880001;Júnior Betão;PPS;12.364.1073.6373.0012;150000;AC;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - No Estado do Acre;2310000;2310000;422099,72;306123,36;255713,21
M. da Educação;AC;Acre;01;26275;Fund. Univ. Fed. do Acre;1197;11970015;Perpétua Almeida;PC DO B;12.364.1073.6373.0012;250000;AC;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - No Estado do Acre;2310000;2310000;422099,72;306123,36;255713,21
M. da Educação;AC;Acre;01;26275;Fund. Univ. Fed. do Acre;1199;11990005;Zico Bronzeado;PT;12.364.1073.6373.0012;150000;AC;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - No Estado do Acre;2310000;2310000;422099,72;306123,36;255713,21
M. da Educação;AC;Acre;01;26275;Fund. Univ. Fed. do Acre;1634;16340012;João Tota;PL;12.364.1073.6373.0012;150000;AC;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - No Estado do Acre;2310000;2310000;422099,72;306123,36;255713,21
M. da Educação;AC;Acre;01;26275;Fund. Univ. Fed. do Acre;1636;16360001;Ronivon Santiago;PP;12.364.1073.6373.0012;150000;AC;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - No Estado do Acre;2310000;2310000;422099,72;306123,36;255713,21
M. da Educação;AC;Acre;01;26275;Fund. Univ. Fed. do Acre;3505;35050001;Nilson Mourão;PT;12.364.1073.6373.0012;150000;AC;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - No Estado do Acre;2310000;2310000;422099,72;306123,36;255713,21
M. da Educação;AC;Acre;02;26275;Fund. Univ. Fed. do Acre;2040;20400018;Geraldo Mesquita Júnior;PSB;12.364.1073.6373.0012;150000;AC;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - No Estado do Acre;2310000;2310000;422099,72;306123,36;255713,21
M. da Educação;AC;Acre;02;26275;Fund. Univ. Fed. do Acre;2051;20510004;Sibá Machado;PT;12.364.1073.6373.0140;500000;AC;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - Construção de Laboratório de Química - Estado do Acre;500000;500000;0;0;0
M. da Educação;AC;Acre;02;26275;Fund. Univ. Fed. do Acre;2051;20510016;Sibá Machado;PT;12.364.1073.6373.0142;300000;AC;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - Modernização da Biblioteca da UFAC - Estado do Acre;300000;300000;0;0;0
