"COD_SETOR";"NOM_SETOR";"COD_TIPO_AUTOR";"DES_TIPO_AUTOR";"SGL_UF_AUTOR";"SGL_PARTIDO";"COD_GRUPO_AUTOR";"DES_GRUPO_AUTOR";"NOM_AUTOR";"COD_EMENDA";"COD_UNID_ORCA";"NOM_ABREV_UNID_ORCA";"Funcional";"Título";"SALDO_ACREC";"VAL_CANC";"SALDO";"DES_DECISAO_PARECER";"COD_AUTOR";"COD_ESFERA";"COD_DECISAO_PARECER";"COD_FONTE";"COD_GND";"COD_MOD_APLIC"
"06";"Educação, Cultura, Ciência e Tecnologia e Esporte";"01";"Deputado Federal";"AC";"PC DO B";3;"PA";"Perpétua Almeida";"11970020";"26275";"Fund. Univ. Fed. do Acre";"12.364.1073.6373.0236";"Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - Programa de Interiorização da UFAC no Município de Tarauacá - No Estado do Acre";100000;0;100000;"Aprovada";"1197";"1";"1";"100";"3";"90"
"06";"Educação, Cultura, Ciência e Tecnologia e Esporte";"01";"Deputado Federal";"AC";"PT";3;"PA";"Henrique Afonso";"11810001";"26101";"M. da Educação";"12.362.1378.0921.0056";"Apoio à Melhoria da Qualidade do Ensino Médio - Ampliação da Escola Estadual Francisco Braga de Souza - Rodrigues Alves - AC";200000;0;200000;"Aprovada";"1181";"1";"1";"100";"4";"30"
"06";"Educação, Cultura, Ciência e Tecnologia e Esporte";"01";"Deputado Federal";"AC";"PT";3;"PA";"Henrique Afonso";"11810007";"26298";"FNDE";"12.361.1376.0E01.0136";"Apoio ao Desenvolvimento do Ensino Fundamental - Aquisição de Equipamentos para Escolas Públicas - Região do Juruá - No Estado do Acre";120000;0;120000;"Aprovada";"1181";"1";"1";"100";"4";"30"
"06";"Educação, Cultura, Ciência e Tecnologia e Esporte";"01";"Deputado Federal";"AL";"PPS";3;"PA";"Rogério Teófilo";"13120001";"26101";"M. da Educação";"12.364.1073.8551.0001";"Complementação para o Funcionamento das Instituições Federais de Ensino Superior - Nacional";40000;0;40000;"Aprovada";"1312";"1";"1";"100";"4";"90"
"06";"Educação, Cultura, Ciência e Tecnologia e Esporte";"01";"Deputado Federal";"AL";"PPS";3;"PA";"Rogério Teófilo";"13120007";"26101";"M. da Educação";"12.363.1062.6380.0098";"Fomento ao Desenvolvimento da Educação Profissional - Estudo de Viabilidade Técnica - CEFET - No Estado de Alagoas";20000;0;20000;"Aprovada";"1312";"1";"1";"100";"3";"99"
"06";"Educação, Cultura, Ciência e Tecnologia e Esporte";"01";"Deputado Federal";"AM";"PC DO B";3;"PA";"Vanessa Grazziotin";"34970001";"26270";"Fund. Univ. do Amazonas";"12.364.1073.4004.0013";"Serviços à Comunidade por meio da Extensão Universitária - No Estado do Amazonas";400000;0;400000;"Aprovada";"3497";"1";"1";"112";"3";"90"
"06";"Educação, Cultura, Ciência e Tecnologia e Esporte";"01";"Deputado Federal";"AM";"PC DO B";3;"PA";"Vanessa Grazziotin";"34970002";"26339";"EAF- S.Gab. Cachoeira-AM";"12.363.1062.6374.0013";"Modernização e Recuperação de Infra-Estrutura Física de Instituições Federais de Educação Profissional - No Estado do Amazonas";200000;0;200000;"Aprovada";"3497";"1";"1";"100";"4";"90"
"06";"Educação, Cultura, Ciência e Tecnologia e Esporte";"01";"Deputado Federal";"AM";"PC DO B";3;"PA";"Vanessa Grazziotin";"34970005";"26270";"Fund. Univ. do Amazonas";"12.364.1073.6373.0013";"Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - No Estado do Amazonas";300000;0;300000;"Aprovada";"3497";"1";"1";"100";"4";"90"
"06";"Educação, Cultura, Ciência e Tecnologia e Esporte";"01";"Deputado Federal";"AM";"PC DO B";3;"PA";"Vanessa Grazziotin";"34970010";"26270";"Fund. Univ. do Amazonas";"12.364.1073.6373.0013";"Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - No Estado do Amazonas";30000;0;30000;"Aprovada";"3497";"1";"1";"100";"3";"90"
"06";"Educação, Cultura, Ciência e Tecnologia e Esporte";"01";"Deputado Federal";"AM";"PC DO B";3;"PA";"Vanessa Grazziotin";"34970010";"26270";"Fund. Univ. do Amazonas";"12.364.1073.6373.0013";"Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - No Estado do Amazonas";170000;0;170000;"Aprovada";"3497";"1";"1";"100";"4";"90"
