PROGRAMA;PTRES;DOTACAO
12363203186520053;070321;260000
12363203186527000;070322;400000
12364203200480016;070324;500000
12364203200480022;070325;4000000
12364203200480024;070326;200000
12364203200480025;070327;200000
12364203200480026;070328;300000
12364203200480027;070329;200000
12364203200480029;070330;600000
12364203200480033;070331;700000
12364203200480041;070332;5000000
12364203200480042;070333;300000
12364203200480052;070334;300000
12364203200480053;070335;350000
12364203200480054;070336;2350000
12364203200480734;070337;200000
12364203200481436;070338;200000
12364203200481964;070339;250000
12364203200482133;070340;180000
12364203200482338;070341;400000
12364203200484890;070342;200000
12364203200485230;070343;1200000
12364203200485561;070344;200000
12364203200487000;070345;350000
12364203200487002;070346;500000
12364203200487004;070347;150000
12364203200487006;070348;450000
12364203200487008;070349;350000
12364203200487010;070350;300000
12364203200487012;070351;200000
12364203200487014;070352;300000
12364203200487016;070353;400000
12364203200487018;070354;250000
12364203200487020;070355;1800000
12364203200487022;070356;200000
12364203200487024;070357;500000
12364203200487026;070358;150000
12364203200487028;070359;250000
12364203200487030;070360;200000
12364203200487032;070361;500000
12364203200487034;070362;300000
12364203200487036;070363;1000000
12364203200487038;070364;500000
12364203200487044;070365;500000
12364203200487046;070366;500000
12364203200487048;070367;200000
12364203200487050;070368;100000
12364203200487052;070369;100000
12364203200487054;070370;550000
12364203200487056;070371;1000000
12364203200487058;070372;200000
12364203200487060;070373;300000
12364203200487062;070374;800000
12364203200487064;070375;950000
12364203200487066;070376;200000
12364203200487068;070377;200000
12364203200487070;070378;720000
12364203200487072;070379;300000
12364203200487074;070380;200000
12364203200487076;070381;400000
12364203200487078;070382;300000
12364203200487080;070383;300000
12364203200487082;070384;1250000
12364203200487084;070385;200000
12364203200487086;070386;2000000
12364203200487088;070387;2000000
12364203200487090;070388;200000
12364203200487092;070389;100000
12364203200487094;070390;300000
12364203200487096;070391;500000
12364203200487098;070392;1000000
12364203200487100;070393;500000
12364203200487102;070394;20000000
12364203200487104;070395;25000000
12364203200487106;070396;21606827
12364203200487108;070397;15000000
12364203200487110;070398;15476621
12364203200487112;070399;23187665
12364203200487114;070400;23500000
12364203200487118;070401;10000000
12364203200487120;070402;24000000
12364203200487122;070403;500000
12368203020RF0017;070404;100000
12368203020RF0024;070405;22406827
12368203020RF0032;070406;750000
12368203020RF0041;070407;5395000
12368203020RF0042;070408;4000000
12368203020RF0043;070409;1550000
12368203020RF0052;070410;100000
12368203020RF0286;070411;500000
12368203020RF1392;070412;2000000
12368203020RF3577;070413;200000
12368203020RF4924;070414;500000
12368203020RF5512;070415;200000
12368203020RF7000;070416;400000
12368203020RF7002;070417;10987665
12368203020RP0015;070419;3000000
12368203020RP0016;070420;356524
12368203020RP0017;070421;790000
12368203020RP0021;070422;3000000
12368203020RP0023;070423;5500000
12368203020RP0024;070424;3370000
12368203020RP0025;070425;500000
12368203020RP0026;070426;4700000
12368203020RP0027;070427;2000000
12368203020RP0028;070428;2100000
12368203020RP0029;070429;1000000
12368203020RP0031;070430;19333000
12368203020RP0032;070431;4000000
12368203020RP0033;070432;12870000
12368203020RP0035;070433;9450000
12368203020RP0041;070434;4150000
12368203020RP0042;070435;2950000
12368203020RP0043;070436;4130000
12368203020RP0050;070437;500000
12368203020RP0051;070438;4000000
12368203020RP0052;070439;4250000
12368203020RP0053;070440;6250000
12368203020RP0054;070441;900000
12368203020RP0166;070442;770000
12368203020RP0252;070443;250000
12368203020RP0397;070444;400000
12368203020RP0402;070445;17045000
12368203020RP0711;070446;20000000
12368203020RP0981;070447;24000000
12368203020RP1632;070448;200000
12368203020RP1654;070449;200000
12368203020RP1674;070450;700000
12368203020RP1689;070451;1000000
12368203020RP1693;070452;500000
12368203020RP1695;070453;2100000
12368203020RP1795;070454;500000
12368203020RP2024;070455;300000
12368203020RP2237;070456;300000
12368203020RP2261;070457;2600000
12368203020RP2879;070458;200000
12368203020RP2992;070459;300000
12368203020RP3008;070460;250000
12368203020RP3166;070461;5000000
12368203020RP3221;070462;340000
12368203020RP3274;070463;500000
12368203020RP3282;070464;1600000
12368203020RP3283;070465;1000000
12368203020RP3296;070466;300000
12368203020RP3298;070467;4000000
12368203020RP3301;070468;500000
12368203020RP3305;070469;500000
12368203020RP3316;070470;600000
12368203020RP3321;070471;4800000
12368203020RP3329;070472;850000
12368203020RP3334;070473;500000
12368203020RP3346;070474;2300000
12368203020RP3360;070475;500000
12368203020RP3430;070476;1000000
12368203020RP3525;070477;300000
12368203020RP3843;070478;350000
12368203020RP4732;070479;300000
12368203020RP4925;070480;500000
12368203020RP4994;070481;1000000
12368203020RP4996;070482;250000
12368203020RP5144;070483;1000000
12368203020RP5230;070484;300000
12368203020RP5449;070485;100000
12368203020RP7002;070486;500000
12368203020RP7004;070487;500000
12368203020RP7006;070488;2000000
12368203020RP7008;070489;500000
12368203020RP7012;070490;250000
12368203020RP7014;070491;1000000
12368203020RP7016;070492;260000
12368203020RP7018;070493;2600000
12368203020RP7020;070494;2300000
12368203020RP7022;070495;200000
12368203020RP7024;070496;200000
12368203020RP7026;070497;200000
12368203020RP7028;070498;1200000
12368203020RP7030;070499;200000
12368203020RP7032;070500;250000
12368203020RP7034;070501;1500000
12368203020RP7036;070502;300000
12368203020RP7038;070503;400000
12368203020RP7040;070504;500000
12368203020RP7042;070505;500000
12368203020RP7044;070506;3000000
12368203020RP7046;070507;1500000
12368203020RP7048;070508;5000000
12368203020RP7050;070509;2200000
12368203020RP7052;070510;1200000
12368203020RP7054;070511;250000
12368203020RP7056;070512;500000
12368203020RP7058;070513;500000
12368203020RP7060;070514;260000
12368203020RP7062;070515;3750000
12368203020RP7064;070516;400000
12368203020RP7066;070517;960000
12368203020RP7068;070518;1500000
12368203020RP7070;070519;300000
12368203020RP7076;070520;500000
12368203020RP7078;070521;400000
12368203020RP7080;070522;400000
12368203020RP7082;070523;400000
12368203020RP7084;070524;700000
12368203020RP7086;070525;10100000
12368203020RP7090;070526;13400000
12368203020RP7092;070527;10000000
12368203020RS0032;070528;250000
12847203005090012;070559;800000
12847203005090025;070560;3150000
12847203005090026;070561;1500000
12847203005090031;070562;3990000
12847203005090032;070563;110000
12847203005090033;070564;2100000
12847203005090035;070565;400000
12847203005090041;070566;3150000
12847203005091584;070567;1000000
12847203005091713;070568;250000
12847203005091721;070569;1000000
12847203005091959;070570;250000
12847203005092699;070571;100000
12847203005093166;070572;720000
12847203005093320;070573;800000
12847203005093329;070574;900000
12847203005093928;070575;250000
12847203005093934;070576;100000
12847203005097000;070577;2000000
12847203005097002;070578;700000
12847203005097004;070579;10000000
12847203005097006;070580;140000
12847203005097008;070581;100000
12847203005097010;070582;150000
12847203005097012;070583;1000000
12847203005097014;070584;100000
12847203005097016;070585;100000
12847203005097018;070586;1000000
12847203005097020;070587;1500000
12847203005097024;070588;20000000
12847203005097026;070589;21606827
12847203005097028;070590;20000000
1284720300E530016;070530;1000000
1284720300E530017;070531;800000
1284720300E530021;070532;4000000
1284720300E530022;070533;48000000
1284720300E530024;070534;21606827
1284720300E530025;070535;6000000
1284720300E530026;070536;1000000
1284720300E530028;070537;450000
1284720300E530031;070538;49521862
1284720300E530033;070539;1900000
1284720300E530035;070540;13157703
1284720300E530041;070541;6120000
1284720300E530042;070542;30051080
1284720300E530043;070543;550000
1284720300E530052;070544;3450000
1284720300E530054;070545;19389395
1284720300E530289;070546;100000
1284720300E530396;070547;300000
1284720300E530447;070548;250000
1284720300E530528;070549;250000
1284720300E531439;070550;300000
1284720300E533253;070551;180000
1284720300E533295;070552;400000
1284720300E533964;070553;300000
1284720300E533972;070554;184000
1284720300E534064;070555;150000
1284720300E537000;070556;3000000
1284720300E537002;070557;800000
1284720300E537004;070558;200000
