ANO_EXERCICIO;COD_REFERENCIA;COD_ESFE;COD_ORUN_O;PRD_TBO0ORUN_1_TIT_CLASSIFICADOR;COD_ORUN_U;PRD_TBO0ORUN_TIT_CLASSIFICADOR;COD_FUNC;PRD_TBO0FUNC_TIT_CLASSIFICADOR;COD_SBFU;PRD_TBO0SBFU_TIT_CLASSIFICADOR;COD_PROG;PRD_TBO0PROG_TIT_CLASSIFICADOR;COD_ACAO;NOM_ACAO;COD_LOCG;NOM_LOCG;COD_BEMS;DES_BEM_SERVICO;COD_UNIDADE_MED;TIT_UNIDADE_MED
2008;848214;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;122;Administração Geral;0750;Apoio Administrativo;09HB0000;Contribuição da União, de suas Autarquias e Fundações para o Custeio do Regime de Previdência dos Servidores Públicos Federais;09HB0001;Nacional;0000;-;205;-
2008;830424;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;122;Administração Geral;0750;Apoio Administrativo;20000000;Administração da Unidade;20000053;No Distrito Federal;0000;-;205;-
2008;848222;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;122;Administração Geral;1060;Brasil Alfabetizado e Educação de Jovens e Adultos;22720000;Gestão e Administração do Programa;22720001;Nacional;0000;-;205;-
2008;848264;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;122;Administração Geral;1062;Desenvolvimento da Educação Profissional e Tecnológica;22720000;Gestão e Administração do Programa;22720001;Nacional;0000;-;205;-
2008;830651;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;122;Administração Geral;1067;Gestão da Política de Educação;20140000;Gerenciamento da Política Nacional de Educação;20140001;Nacional;0000;-;205;-
2008;848562;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;122;Administração Geral;1067;Gestão da Política de Educação;22720000;Gestão e Administração do Programa;22720001;Nacional;0000;-;205;-
2008;830652;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;122;Administração Geral;1067;Gestão da Política de Educação;40810000;Gerenciamento das Políticas da Educação a Distância;40810001;Nacional;0000;-;205;-
2008;830679;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;122;Administração Geral;1067;Gestão da Política de Educação;40820000;Gerenciamento das Políticas da Educação Especial;40820001;Nacional;0000;-;205;-
2008;830682;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;122;Administração Geral;1067;Gestão da Política de Educação;40830000;Gerenciamento das Políticas do Ensino Superior;40830001;Nacional;0000;-;205;-
2008;848566;10;26000O;Ministério da Educação;26101U;Ministério da Educação;12;Educação;122;Administração Geral;1067;Gestão da Política de Educação;82410000;Gerenciamento das Políticas de Educação Continuada, Alfabetização e Diversidade;82410001;Nacional;0000;-;205;-
